#{"t_start": 1715872318.6937895, "env_id": "FrozenLake-v1"}
r,l,t
1.0,48,0.763617
0.0,11,0.768641
1.0,87,0.80712
1.0,11,0.812103
0.0,100,0.856284
0.0,54,0.879313
0.0,9,0.883626
1.0,38,0.900714
1.0,38,0.917891
1.0,17,0.927122
1.0,47,0.953217
1.0,18,0.964247
1.0,26,0.978352
0.0,69,1.011939
1.0,31,1.025992
1.0,20,1.034016
0.0,6,1.089589
0.0,21,1.098604
0.0,9,1.102591
0.0,9,1.106598
0.0,7,1.109609
0.0,6,1.112599
0.0,13,1.118618
0.0,6,1.120611
0.0,15,1.127613
0.0,10,1.131623
0.0,34,1.147634
0.0,8,1.151643
0.0,14,1.157647
0.0,8,1.160657
0.0,6,1.163667
0.0,7,1.167655
0.0,10,1.171659
0.0,5,1.173673
0.0,6,1.176662
0.0,8,1.181174
0.0,30,1.194199
0.0,3,1.196193
0.0,4,1.197189
0.0,24,1.2082
0.0,7,1.211212
0.0,10,1.215219
0.0,8,1.219238
0.0,13,1.225219
0.0,11,1.230223
0.0,15,1.23622
0.0,15,1.242201
0.0,5,1.245191
0.0,6,1.262271
0.0,5,1.267256
0.0,2,1.270246
0.0,3,1.273235
0.0,3,1.277222
0.0,5,1.282707
0.0,10,1.29367
0.0,10,1.30563
0.0,8,1.3146
0.0,5,1.320583
0.0,8,1.329551
0.0,6,1.336528
0.0,6,1.343505
0.0,12,1.357457
0.0,3,1.360447
0.0,14,1.376395
0.0,12,1.391857
0.0,12,1.406201
0.0,3,1.410393
0.0,9,1.420526
0.0,20,1.446501
0.0,6,1.456476
0.0,2,1.459464
0.0,2,1.462454
0.0,10,1.474415
0.0,30,1.51968
0.0,2,1.522747
0.0,7,1.533621
0.0,6,1.543142
0.0,4,1.547185
0.0,11,1.56241
0.0,9,1.575455
0.0,2,1.578347
0.0,10,1.592484
0.0,12,1.606953
0.0,16,1.627883
0.0,14,1.645823
0.0,4,1.650806
0.0,16,1.669744
0.0,3,1.673731
0.0,10,1.686196
0.0,3,1.690183
0.0,3,1.695166
0.0,5,1.701146
0.0,7,1.70912
0.0,3,1.713107
0.0,3,1.716096
0.0,12,1.730085
0.0,26,1.767099
0.0,21,1.790588
0.0,4,1.795672
0.0,6,1.802788
0.0,5,1.80882
0.0,22,1.833813
0.0,12,1.846979
0.0,11,1.858937
0.0,6,1.865993
0.0,7,1.874011
0.0,19,1.894674
0.0,8,1.904908
0.0,2,1.906996
0.0,13,1.922074
0.0,4,1.926103
0.0,2,1.929093
0.0,3,1.932124
0.0,5,1.938123
0.0,11,1.951157
0.0,9,1.961207
0.0,2,1.9632
0.0,3,1.967233
0.0,2,1.969227
0.0,9,1.979759
0.0,8,1.98878
0.0,13,2.00384
0.0,8,2.01281
0.0,2,2.01489
0.0,4,2.018887
0.0,4,2.02392
0.0,5,2.029995
0.0,6,2.036105
0.0,2,2.039187
0.0,12,2.052114
0.0,5,2.057229
0.0,9,2.067206
0.0,6,2.074183
0.0,6,2.081005
0.0,2,2.082987
0.0,5,2.088968
0.0,6,2.09588
0.0,7,2.10286
0.0,9,2.112859
0.0,14,2.128895
0.0,2,2.131904
0.0,6,2.138901
0.0,5,2.144902
0.0,3,2.147918
0.0,2,2.149912
0.0,6,2.156927
0.0,11,2.168926
0.0,9,2.179912
0.0,4,2.184441
0.0,15,2.20051
0.0,6,2.207535
0.0,5,2.213538
0.0,9,2.223562
0.0,3,2.227593
0.0,2,2.229587
0.0,8,2.23862
0.0,2,2.240614
0.0,4,2.245617
0.0,3,2.2506
0.0,10,2.261976
0.0,6,2.268975
0.0,2,2.271003
1.0,11,2.283007
0.0,3,2.287031
0.0,7,2.295045
0.0,11,2.307088
1.0,21,2.330226
0.0,10,2.341253
0.0,4,2.346259
0.0,4,2.351284
0.0,4,2.355306
0.0,3,2.359292
0.0,5,2.364376
0.0,9,2.374406
0.0,2,2.376398
0.0,10,2.387883
0.0,6,2.394861
0.0,11,2.406814
0.0,3,2.409804
0.0,5,2.415835
0.0,11,2.42784
0.0,6,2.435855
0.0,11,2.448851
0.0,2,2.451841
0.0,11,2.465896
0.0,5,2.471988
0.0,4,2.476081
0.0,13,2.490751
0.0,5,2.497835
0.0,15,2.516062
0.0,4,2.521148
0.0,18,2.541081
0.0,3,2.544185
0.0,6,2.550267
0.0,7,2.558239
0.0,6,2.565322
0.0,11,2.578354
0.0,5,2.584354
0.0,11,2.596407
0.0,12,2.610439
0.0,14,2.625583
0.0,6,2.631671
0.0,2,2.634691
0.0,6,2.640692
0.0,8,2.649706
0.0,3,2.652721
0.0,3,2.656707
0.0,3,2.660712
0.0,6,2.666714
0.0,6,2.673691
0.0,5,2.678674
0.0,9,2.691271
0.0,2,2.694261
0.0,4,2.699266
0.0,12,2.71333
0.0,16,2.730272
0.0,6,2.737248
0.0,7,2.744302
0.0,5,2.750301
0.0,6,2.757324
0.0,5,2.76337
0.0,7,2.770367
0.0,2,2.773376
0.0,16,2.790879
0.0,4,2.79491
0.0,13,2.810923
0.0,19,2.835032
0.0,12,2.851071
0.0,6,2.860036
0.0,5,2.867015
0.0,2,2.870005
0.0,2,2.871994
0.0,2,2.874984
0.0,6,2.883489
0.0,8,2.893505
0.0,10,2.90555
0.0,4,2.91053
0.0,5,2.91554
0.0,11,2.92861
0.0,9,2.938674
0.0,9,2.949729
0.0,8,2.958785
0.0,7,2.966806
0.0,5,2.972844
0.0,9,2.983425
0.0,2,2.985419
0.0,10,2.996382
0.0,7,3.007348
0.0,4,3.012332
0.0,7,3.022298
0.0,13,3.038242
0.0,16,3.056325
0.0,3,3.059395
0.0,4,3.064378
0.0,5,3.069369
0.0,3,3.073351
0.0,8,3.081843
0.0,5,3.086826
0.0,10,3.097812
0.0,20,3.119796
0.0,5,3.125801
0.0,4,3.130784
0.0,5,3.135768
0.0,4,3.140856
0.0,4,3.144842
0.0,2,3.147832
0.0,3,3.150926
0.0,9,3.160956
0.0,7,3.168967
0.0,15,3.185562
0.0,2,3.187601
0.0,8,3.196668
0.0,6,3.203752
0.0,11,3.215903
0.0,12,3.229046
0.0,3,3.233073
0.0,3,3.236067
0.0,4,3.24105
0.0,9,3.251054
0.0,7,3.259044
0.0,3,3.262061
0.0,15,3.279092
0.0,2,3.281618
0.0,12,3.295946
0.0,16,3.317508
1.0,10,3.330972
0.0,9,3.344172
0.0,4,3.34916
0.0,4,3.35514
0.0,7,3.364129
0.0,3,3.367141
0.0,5,3.372143
0.0,9,3.382976
0.0,6,3.390016
0.0,3,3.393046
0.0,8,3.402235
0.0,15,3.417416
0.0,17,3.436717
0.0,5,3.441811
0.0,2,3.444803
0.0,4,3.448723
0.0,11,3.460685
0.0,10,3.472749
0.0,4,3.477732
0.0,9,3.489272
0.0,2,3.491266
0.0,3,3.495292
0.0,4,3.499312
0.0,15,3.516275
0.0,6,3.522254
0.0,4,3.526344
0.0,5,3.532414
0.0,8,3.541383
0.0,3,3.544373
0.0,2,3.546366
0.0,13,3.56032
0.0,2,3.562313
0.0,3,3.566301
0.0,6,3.572477
0.0,6,3.581022
0.0,8,3.590396
0.0,7,3.597532
0.0,2,3.600597
0.0,14,3.614946
0.0,6,3.621929
0.0,2,3.623922
0.0,4,3.628929
0.0,7,3.635906
0.0,3,3.639892
0.0,5,3.644876
1.0,8,3.653846
0.0,3,3.656836
0.0,7,3.664809
0.0,3,3.667916
0.0,2,3.669909
